# source_sha256	87f5c391b0fc722bdaa0fdca468f160bccf1becaa2f81cec052c481b7c98f195
# scope	m1n1 pcie_init_controller(APCIE, /arm-io/apcie0), T6040 staged-clock path
# semantics	WRITE replaces the full value; RMW is (old & ~mask) | value; SET is old | mask; CLEAR is old & ~mask
sequence	phase	source	address	size	operation	mask	value
217	phy	apcie-phy-ip-auspma-tunables	0x0041705a0b8	4	RMW	0xff03e000	0xaa03e000
218	phy	apcie-phy-ip-auspma-tunables	0x0041705a0bc	4	RMW	0x00060fff	0x00040faa
219	phy	apcie-phy-ip-auspma-tunables	0x0041705a0c0	4	RMW	0x3ff80000	0x14500000
220	phy	apcie-phy-ip-auspma-tunables	0x0041705a0c4	4	RMW	0x0000ffff	0x00007777
221	phy	apcie-phy-ip-auspma-tunables	0x0041705a0e0	4	RMW	0x18000000	0x08000000
222	phy	apcie-phy-ip-auspma-tunables	0x0041705a0e8	4	RMW	0x001ff000	0x00002000
223	phy	apcie-phy-ip-auspma-tunables	0x0041705a10c	4	RMW	0x3fffffff	0x000f4240
224	phy	apcie-phy-ip-auspma-tunables	0x0041705a11c	4	RMW	0x00040000	0x00040000
225	phy	apcie-phy-ip-auspma-tunables	0x0041705a178	4	RMW	0x03f00000	0x00300000
226	phy	apcie-phy-ip-auspma-tunables	0x0041705a1b4	4	RMW	0x0003ff00	0x00001500
227	phy	apcie-phy-ip-auspma-tunables	0x0041705a1bc	4	RMW	0x0003ff00	0x00001500
228	phy	apcie-phy-ip-auspma-tunables	0x0041705a1c4	4	RMW	0x00000001	0x00000001
229	phy	apcie-phy-ip-auspma-tunables	0x0041705a1cc	4	RMW	0x00000001	0x00000001
230	phy	apcie-phy-ip-auspma-tunables	0x0041705a1e8	4	RMW	0x0000000f	0x00000000
231	phy	apcie-phy-ip-auspma-tunables	0x0041705a1b0	4	RMW	0xffffffff	0x00098924
232	phy	apcie-phy-ip-auspma-tunables	0x0041705a1b8	4	RMW	0xffffffff	0x00098924
233	phy	apcie-phy-ip-auspma-tunables	0x00417062000	4	RMW	0x0000000f	0x0000000a
234	phy	apcie-phy-ip-auspma-tunables	0x00417062008	4	RMW	0x0000000f	0x0000000a
235	phy	apcie-phy-ip-auspma-tunables	0x0041706200c	4	RMW	0x0000000f	0x0000000a
236	phy	apcie-phy-ip-auspma-tunables	0x00417062010	4	RMW	0x0000000f	0x0000000a
237	phy	apcie-phy-ip-auspma-tunables	0x00417062014	4	RMW	0x0000000f	0x0000000a
238	phy	apcie-phy-ip-auspma-tunables	0x00417062038	4	RMW	0x0000ffff	0x00000271
239	phy	apcie-phy-ip-auspma-tunables	0x00417062040	4	RMW	0x00000800	0x00000000
240	phy	apcie-phy-ip-auspma-tunables	0x0041706204c	4	RMW	0x00003fff	0x00000bff
241	phy	apcie-phy-ip-auspma-tunables	0x00417062050	4	RMW	0x00000001	0x00000001
242	phy	apcie-phy-ip-auspma-tunables	0x00417062068	4	RMW	0x00000007	0x00000001
243	phy	apcie-phy-ip-auspma-tunables	0x00417062070	4	RMW	0xfff038e0	0x55b00820
244	phy	apcie-phy-ip-auspma-tunables	0x00417062084	4	RMW	0xffffffff	0x3e8f4240
245	phy	apcie-phy-ip-auspma-tunables	0x00417062088	4	RMW	0x00000fff	0x00000fff
246	phy	apcie-phy-ip-auspma-tunables	0x0041706209c	4	RMW	0x0fc00000	0x05400000
247	phy	apcie-phy-ip-auspma-tunables	0x004170620b8	4	RMW	0xff03e000	0xaa03e000
248	phy	apcie-phy-ip-auspma-tunables	0x004170620bc	4	RMW	0x00060fff	0x00040faa
249	phy	apcie-phy-ip-auspma-tunables	0x004170620c0	4	RMW	0x3ff80000	0x14500000
250	phy	apcie-phy-ip-auspma-tunables	0x004170620c4	4	RMW	0x0000ffff	0x00007777
251	phy	apcie-phy-ip-auspma-tunables	0x004170620e0	4	RMW	0x18000000	0x08000000
252	phy	apcie-phy-ip-auspma-tunables	0x004170620e8	4	RMW	0x001ff000	0x00002000
253	phy	apcie-phy-ip-auspma-tunables	0x0041706210c	4	RMW	0x3fffffff	0x000f4240
254	phy	apcie-phy-ip-auspma-tunables	0x0041706211c	4	RMW	0x00040000	0x00040000
